cluster	group
B Activated	B Cells
B GC	B Cells
B IFN Stim	B Cells
B Memory	B Cells
B Naive	B Cells
B Switched	B Cells
cDC1	DC
cDC2	DC
Cycling B	B Cells
Cycling Mast	Myeloid Other
Cycling Myeloid	Myeloid Other
Cycling Plasma	Plasma
Cycling T CD4+	T CD4+
Cycling T CD8+	T CD8+
Cycling T GD	T GD
DC Act.	DC
DC S100B+	DC
IGA_IGK	Plasma
IGA_IGL	Plasma
IGG_IGK	Plasma
IGG_IGL	Plasma
ILC3	ILC
ILC3 CSF2+	ILC
Macrophage	Macrophage
Macrophage CCL4+	Macrophage
Macrophage KLF6+	Macrophage
Macrophage Metallothionein	Macrophage
Macrophage MMP12+	Macrophage
Mast	Myeloid Other
Monocyte	Myeloid Other
Neutrophil	Myeloid Other
NK	ILC
NK CD16+	ILC
NK NCAM1-	ILC
pDC	DC
T CD4+ ANXA1+	T CD4+
T CD4+ ANXA1+ IL4I1+	T CD4+
T CD4+ Naive	T CD4+
T CD4+ NR4A+	T CD4+
T CD4+ Reg	T CD4+
T CD4+ Reg HLA-DR+	T CD4+
T CD4+ Reg TNFR+	T CD4+
T CD4+ Tfh	T CD4+
T CD4+ Th1	T CD4+
T CD8+ GZMK+	T CD8+
T CD8+ GZMK+ NCR3+	T CD8+
T CD8+ Naive	T CD8+
T CD8+ Trm GNLY+	T CD8+
T CD8+ Trm GzmHi	T CD8+
T CD8+ Trm GzmHi CD137+	T CD8+
T CD8+ Trm GzmHi KLRC1+	T CD8+
T CD8+ Trm GzmLo	T CD8+
T CD8+ Trm GzmLo KLRC1+	T CD8+
T CD8+ Trm NR4A+	T CD8+
T GD	T GD
T GD GZMK+	T GD
T GD LTB+	T GD
